X,Y,OBJECTID,SchoolCode,School,PhysicalAddress,ESDCode,ESDName,LEACode,LEAName,SchoolCategory,AYPCode,GradeCategory,LowestGrade,HighestGrade,TK,CongressionalDistrict,LegislativeDistrict,County,GeoCoded_Y,GeoCoded_X,BldgLatitude,BldgLongitude
-13603028.6163153,6017137.00021594,1492,3434,Nelsen Middle School,"2403 Jones Ave S, Renton, WA 98055-4304",17801,Puget Sound Educational Service District 121,17403,Renton School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 9,Legislative District 11,King,47.457818,-122.198658,47.4579,-122.1981
-13612802.4765338,5951120.54143827,1493,5160,Nelson Elementary School,"22109 108th Ave E, Graham, WA 98338-8871",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 8,Legislative District 31,Pierce,47.0554,-122.286484,47.0554,-122.2859
-13245614.6124831,6134432.76607522,1494,5775,Nespelem ALE High School,"229 Schoolhouse Loop Rd, Nespelem, WA 99155-5153",4801,North Central Educational Service District 171,24014,Nespelem School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 4,Legislative District 7,Okanogan,48.165117,-118.987372,48.165508,-118.987395
-13245615.1692138,6134431.43084956,1495,2494,Nespelem Elementary School,"229 Schoolhouse Loop Rd, Nespelem, WA 99155-5153",4801,North Central Educational Service District 171,24014,Nespelem School District,"Public School,Regular School",P,Other,PK,8,Yes,Congressional District 4,Legislative District 7,Okanogan,48.165117,-118.987372,48.1655,-118.9874
-13245622.3018835,6134434.17257943,1496,5740,Nespelem High School,"229 Schoolhouse Loop Rd, Nespelem, WA 99155-5153",4801,North Central Educational Service District 171,24014,Nespelem School District,"Public School,Affiliated With District",P,High School,9,12,No,Congressional District 4,Legislative District 7,Okanogan,48.165117,-118.987372,48.1655164268,-118.987464075
-13055058.5129933,6051400.78514554,1497,3196,Ness Elementary School,"9612 E Cataldo Ave, Spokane Valley, WA 99206-4013",32801,Educational Service District 101,32363,West Valley School District (Spokane),"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 5,Legislative District 4,Spokane,47.665555,-117.275557,47.6656,-117.2756
-13260163.5592825,5821206.97810336,1498,3912,New Horizons High School,"2020 W Argent Rd, Pasco, WA 99301-7506",11801,Educational Service District 123,11001,Pasco School District,"Public School,Alternative School",A,Other,6,12,No,Congressional District 4,Legislative District 16,Franklin,46.254573,-119.118028,46.25438,-119.11809
-13682713.2226526,5939219.96757653,1499,5014,New Market High School,"7299 New Market St SW, Tumwater, WA 98501-6570",34801,Capital Region ESD 113,34033,Tumwater School District,"Public School,Alternative School",A,High School,10,12,No,Congressional District 10,Legislative District 22,Thurston,46.982238,-122.914977,46.982517,-122.913919
-13682713.2226526,5939219.96757653,1500,4225,New Market Skills Center,"7299 New Market St SW, Tumwater, WA 98501-6570",34801,Capital Region ESD 113,34033,Tumwater School District,"Public School,Vocational/technical school",V,High School,11,12,No,Congressional District 10,Legislative District 22,Thurston,46.982238,-122.914977,46.982517,-122.913919
-13598798.474485,6028356.36814965,1501,4592,Newcastle Elementary School,"8400 136th Ave SE, Newcastle, WA 98059-3400",17801,Puget Sound Educational Service District 121,17411,Issaquah School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 9,Legislative District 41,King,47.525928,-122.160066,47.526,-122.1601
-13068520.4881105,6049643.8726232,1502,5434,NEWESD 101 Open Doors,"901 E 2nd Ave, Spokane, WA 99202-2257",99999,Office of Superintendent of Public Instruction,32801,Educational Service District 101,"Public School,Re-Engagement School",R,High School,11,12,No,Congressional District 5,Legislative District 3,Spokane,47.654969,-117.396537,47.65497,-117.396531
-13601062.7117867,6033252.3089056,1503,3437,Newport Heights Elementary School,"5225 119th Ave SE, Bellevue, WA 98006-3301",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 41,King,47.555804,-122.180348,47.55569,-122.18044
-13031291.7928396,6136367.66045084,1504,2518,Newport High School,"1400 W 5th St, Newport, WA 99156-5232",32801,Educational Service District 101,26056,Newport School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 5,Legislative District 7,Pend Oreille,48.177052,-117.06212,48.1771,-117.0621
-13030768.2573221,6136431.43098943,1505,5681,Newport Home Link,"1302 W 5th St, Newport, WA 99156",32801,Educational Service District 101,26056,Newport School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 5,Legislative District 7,Pend Oreille,48.177133,-117.058105,48.177482,-117.057397
-13600123.1750914,6035200.57247,1506,3486,Newport Senior High School,"4333 Factoria Blvd SE, Bellevue, WA 98006-1930",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 9,Legislative District 41,King,47.567721,-122.171791,47.5675,-122.172
-13085742.274861,6070343.80945129,1507,2341,Nine Mile Falls Elementary School,"10102 W Charles Rd, Nine Mile Falls, WA 99026-9624",32801,Educational Service District 101,32325,Nine Mile Falls School District,"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 5,Legislative District 6,Spokane,47.77992,-117.551475,47.780075,-117.551237
-13085735.4927187,6070341.14532587,1508,5752,Nine Mile Family Partnership Program,"10102 W Charles Rd, Nine Mile Falls, WA 99026-9624",32801,Educational Service District 101,32325,Nine Mile Falls School District,"Public School,Alternative School",A,Other,K,8,No,Congressional District 5,Legislative District 6,Spokane,47.77992,-117.551475,47.780058918,-117.551176076
-13666369.4071424,5949878.83685284,1509,3611,Nisqually Middle School,"8100 Steilacoom Rd SE, Lacey, WA 98503-1941",34801,Capital Region ESD 113,34003,North Thurston Public Schools,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 10,Legislative District 2,Thurston,47.047736,-122.766982,47.0478,-122.7671
-13419952.6339833,5875324.61246299,1510,2819,Nob Hill Elementary School,"801 S 34th Ave, Yakima, WA 98902-3932",39801,Educational Service District 105,39007,Yakima School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 15,Yakima,46.589658,-120.553514,46.5895,-120.5535
-13615173.5299143,6262364.32210131,1511,4525,Nooksack Elementary School,"3333 Breckenridge Rd, Nooksack, WA 98276",29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 2,Legislative District 42,Whatcom,48.92624,-122.307292,48.9263,-122.3072
-13615195.4587217,6268867.11413147,1512,5554,Nooksack Reengagement,"3326 E Badger Rd, Everson, WA 98247-9232",29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,"Public School,Re-Engagement School",R,High School,11,12,No,Congressional District 2,Legislative District 42,Whatcom,48.964376,-122.307945,48.964666,-122.307397
-13615195.4587217,6268867.11413147,1513,2459,Nooksack Valley High School,"3326 E Badger Rd, Everson, WA 98247-9232",29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,"Public School,Regular School",P,Other,7,12,No,Congressional District 2,Legislative District 42,Whatcom,48.964376,-122.307945,48.964666,-122.307397
-13617422.1834286,6261398.63528039,1514,2687,Nooksack Valley Middle School,"404 W Columbia St, Nooksack, WA 98276-8233",29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 2,Legislative District 42,Whatcom,48.920611,-122.327439,48.9206,-122.3274
-13615195.4587217,6268867.11413147,1515,1823,Nooksack Valley Special Services,"3326 E Badger Rd, Everson, WA 98247-9232",29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,"Public School,Special Education School",S,PK Only,PK,PK,No,Congressional District 2,Legislative District 42,Whatcom,48.964376,-122.307945,48.964666,-122.307397
-13594857.7605825,6056989.67690732,1516,4147,Norman Rockwell Elementary School,"11125 162nd Ave NE, Redmond, WA 98052-2676",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 1,Legislative District 45,King,47.699353,-122.124651,47.6994,-122.1247
-13624067.9903475,6056228.86208423,1517,3218,North Beach Elementary School,"9018 24th Ave NW, Seattle, WA 98117-2801",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 7,Legislative District 36,King,47.694871,-122.387098,47.6948,-122.3871
-13821247.078454,5945203.60243544,1518,3788,North Beach Junior High School,"336 WA-115, Ocean Shores, WA 98569",34801,Capital Region ESD 113,14064,North Beach School District,"Public School,Regular School",P,Middle School,7,8,No,Congressional District 6,Legislative District 24,Grays Harbor,47.019087,-124.158147,47.019175,-124.15839
-13821247.078454,5945203.60243544,1519,2728,North Beach Senior High School,"336 WA-115, Ocean Shores, WA 98569",34801,Capital Region ESD 113,14064,North Beach School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 6,Legislative District 24,Grays Harbor,47.019087,-124.158147,47.019175,-124.15839
-13556374.6242794,6023066.12382917,1520,2287,North Bend Elementary School,"400 E 3rd St, North Bend, WA 98045-8201",17801,Puget Sound Educational Service District 121,17410,Snoqualmie Valley School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 12,King,47.494042,-121.77927,47.4939,-121.779
-13071110.7804398,6052491.8082955,1521,2106,North Central High School,"1600 N Howard St, Spokane, WA 99205-4705",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 5,Legislative District 3,Spokane,47.672256,-117.419718,47.6722,-117.4198
-13601284.1190853,6077699.82434027,1522,5481,North Creek High School,"3613 191st Pl SE, Bothell, WA 98012-7689",17801,Puget Sound Educational Service District 121,17417,Northshore School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 1,Legislative District 44,Snohomish,47.823806,-122.183805,47.82446,-122.182429
-13283408.1554782,5970389.71659779,1523,3779,North Elementary School,"1200 W Craig St, Moses Lake, WA 98837-3307",4801,North Central Educational Service District 171,13161,Moses Lake School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 13,Grant,47.173261,-119.327268,47.1732,-119.3269
-13661583.5882032,5768535.1590188,1524,5600,North Fork Elementary School,"2250 Lewis River Rd, Woodland, WA 98674-9259",6801,Educational Service District 112,8404,Woodland School District,"Public School,Regular School",P,Elementary School,K,4,No,Congressional District 3,Legislative District 20,Cowlitz,45.926241,-122.724228,45.926234,-122.724108
-13232599.8464715,5887169.95581935,1525,5653,North Franklin Virtual Academy,"1100 W Clark St, Connell, WA 99326-9700",11801,Educational Service District 123,11051,North Franklin School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 5,Legislative District 16,Franklin,46.66202,-118.872791,46.662577,-118.870481
-13617411.0931043,6011656.16947573,1526,2983,North Hill Elementary School,"19835 8th Ave S, Des Moines, WA 98148-2246",17801,Puget Sound Educational Service District 121,17401,Highline School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 33,King,47.424796,-122.327079,47.4246,-122.3273
-13650606.5516023,6062780.7303198,1527,3236,North Kitsap High School,"1780 NE Hostmark St, Poulsbo, WA 98370-7682",18801,Olympic Educational Service District 114,18400,North Kitsap School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 6,Legislative District 23,Kitsap,47.734437,-122.625673,47.7344,-122.6255
-13638460.2596091,6073041.91816363,1528,1733,North Kitsap Online Academy & Parent Assisted Learning,"25800 Siyaya Ave NE, Kingston, WA 98346-9363",18801,Olympic Educational Service District 114,18400,North Kitsap School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 6,Legislative District 23,Kitsap,47.796486,-122.516373,47.796359,-122.516388
-13642580.9722686,6074863.77570062,1529,5646,North Kitsap Options,"27089 Highland Rd NE, Kingston, WA 98346-8408",18801,Olympic Educational Service District 114,18400,North Kitsap School District,"Public School,Regular School",P,Other,K,8,No,Congressional District 6,Legislative District 23,Kitsap,47.807354,-122.553342,47.807352,-122.553405
-13588324.4120468,6109845.14506688,1530,4139,North Lake Middle School,"2202 123rd Ave NE, Lake Stevens, WA 98258-9149",29801,Northwest Educational Service District 189,31004,Lake Stevens School District,"Public School,Regular School",P,Middle School,6,7,No,Congressional District 1,Legislative District 39,Snohomish,48.017902,-122.065358,48.017977,-122.06601
-13674676.5018474,6010388.83907381,1531,1861,North Mason Homelink Program,"90 E North Mason School Rd, Belfair, WA 98528-9321",18801,Olympic Educational Service District 114,23403,North Mason School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 6,Legislative District 35,Mason,47.416855,-122.84176,47.416897,-122.841724
-13674488.2607587,6010166.91325923,1532,3175,North Mason Senior High School,"150 E North Mason School Rd, Belfair, WA 98528",18801,Olympic Educational Service District 114,23403,North Mason School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 6,Legislative District 35,Mason,47.41697,-122.842709,47.415548,-122.840033
-13603162.1855792,6104175.84641084,1533,2364,North Middle School,"2514 Rainier Ave, Everett, WA 98201-3175",29801,Northwest Educational Service District 189,31002,Everett School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 2,Legislative District 38,Snohomish,47.983955,-122.198897,47.9839,-122.1993
-13051623.1941972,6051064.91014187,1534,2776,North Pines Middle School,"701 N Pines Rd, Spokane Valley, WA 99206",32801,Educational Service District 101,32356,Central Valley School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 5,Legislative District 4,Spokane,47.663724,-117.239819,47.663568,-117.24474
-13746163.8806237,5905507.21331204,1535,2292,North River School,"2867 N River Rd, Brooklyn, WA 98537-9743",34801,Capital Region ESD 113,25200,North River School District,"Public School,Regular School",P,PK-12,PK,12,Yes,Congressional District 3,Legislative District 19,Pacific,46.775503,-123.484454,46.775509,-123.483906
-13617522.4221563,5950989.82723152,1536,4538,North Star Elementary School (Graham),"7719 224th St E, Graham, WA 98338-7361",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 2,Pierce,47.054515,-122.328391,47.0546,-122.3283
