X,Y,OBJECTID,SchoolCode,School,PhysicalAddress,ESDCode,ESDName,LEACode,LEAName,SchoolCategory,AYPCode,GradeCategory,LowestGrade,HighestGrade,TK,CongressionalDistrict,LegislativeDistrict,County,GeoCoded_Y,GeoCoded_X,BldgLatitude,BldgLongitude
-13619381.4377041,6074175.62050406,307,3534,Chase Lake Elementary School,"21603 84th Ave W, Edmonds, WA 98026-7818",29801,Northwest Educational Service District 189,31015,Edmonds School District,"Public School,Regular School",P,Elementary School,PK,6,No,Congressional District 2,Legislative District 21,Snohomish,47.803257,-122.345023,47.8032,-122.345
-13062238.6199107,6044329.02760576,308,4457,Chase Middle School,"4747 E 37th Ave, Spokane, WA 99223-1206",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 5,Legislative District 3,Spokane,47.622521,-117.340058,47.6228,-117.3401
-13064298.0231851,6088938.43194939,309,2525,Chattaroy Elementary School,"25717 N Yale Rd, Chattaroy, WA 99003-8824",32801,Educational Service District 101,32416,Riverside School District,"Public School,Regular School",P,Elementary School,PK,4,No,Congressional District 5,Legislative District 6,Spokane,47.892279,-117.358511,47.8922,-117.3586
-13631344.3948256,6012135.81191047,310,4468,Chautauqua Elementary School,"9309 SW Cemetery Rd, Vashon, WA 98070-6105",17801,Puget Sound Educational Service District 121,17402,Vashon Island School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 7,Legislative District 34,King,47.427601,-122.452253,47.427515,-122.452465
-13685803.0145585,5883973.24523996,311,4311,Chehalis Middle School,"1060 SW 20th St, Chehalis, WA 98532-4210",34801,Capital Region ESD 113,21302,Chehalis School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 3,Legislative District 20,Lewis,46.643578,-122.943369,46.642865,-122.941675
-13393414.0509334,6011244.79968523,312,1802,Chelan County Juvenile Detention Center,"316 Washington St, Wenatchee, WA 98801-4105",4801,North Central Educational Service District 171,4246,Wenatchee School District,Detention Center,J,Other,3,12,No,Congressional District 8,Legislative District 12,Chelan,47.421852,-120.315503,47.4221,-120.3151
-13360599.9540642,6079463.92236817,313,4260,Chelan High School,"215 W Webster Ave, Chelan, WA 98816-9806",4801,North Central Educational Service District 171,4129,Lake Chelan School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 8,Legislative District 12,Chelan,47.835041,-120.020749,47.835099,-120.020326
-13360599.9540642,6079463.92236817,314,2317,Chelan Middle School,"215 W Webster Ave, Chelan, WA 98816-9806",4801,North Central Educational Service District 171,4129,Lake Chelan School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 8,Legislative District 12,Chelan,47.835041,-120.020749,47.835099,-120.020326
-13359841.08916,6080355.16532227,315,1940,Chelan School of Innovation,"324 E Johnson Ave, Chelan, WA 98816",4801,North Central Educational Service District 171,4129,Lake Chelan School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 8,Legislative District 12,Chelan,47.840449,-120.013487,47.840473,-120.013509
-13088632.4694488,6023741.56947149,316,3610,Cheney High School,"460 N 6th St, Cheney, WA 99004-2219",32801,Educational Service District 101,32360,Cheney School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 5,Legislative District 9,Spokane,47.497986,-117.576915,47.498,-117.5772
-13088893.5134035,6025163.7937512,317,2447,Cheney Middle School,"740 Betz Rd, Cheney, WA 99004-7013",32801,Educational Service District 101,32360,Cheney School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 5,Legislative District 9,Spokane,47.506571,-117.579529,47.506631,-117.579545
-13088651.5051239,6023764.63691396,318,5396,Cheney Open Doors,"460 N 6th St, Cheney, WA 99004-2219",32801,Educational Service District 101,32360,Cheney School District,"Public School,Re-Engagement School",R,Other,7,12,No,Congressional District 5,Legislative District 9,Spokane,47.497986,-117.576915,47.49814,-117.577371
-13600323.5482897,6047236.42519146,319,3742,Cherry Crest Elementary School,"12400 NE 32nd St, Bellevue, WA 98005-1610",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 1,Legislative District 48,King,47.640366,-122.173702,47.6404,-122.1738
-13579050.394128,6064899.55831719,320,3101,Cherry Valley Elementary School,"26701 NE Cherry Valley Rd, Duvall, WA 98019-8618",17801,Puget Sound Educational Service District 121,17407,Riverview School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 45,King,47.747195,-121.982123,47.7472,-121.9827
-13646462.0314519,5969159.55428964,321,3446,Cherrydale Elementary School,"1201 Galloway St, Steilacoom, WA 98388-3909",17801,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,"Public School,Regular School",P,Elementary School,PK,3,Yes,Congressional District 10,Legislative District 28,Pierce,47.165426,-122.588214,47.165687,-122.588269
-13050941.3635259,6044515.82427513,322,3929,Chester Elementary School,"3525 S Pines Rd, Spokane Valley, WA 99206-5930",32801,Educational Service District 101,32356,Central Valley School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 5,Legislative District 4,Spokane,47.623924,-117.238621,47.623931,-117.238615
-13628426.1630173,5960521.47693207,323,3649,Chester H Thompson Elementary School,"303 159th St E, Tacoma, WA 98445-1125",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 10,Legislative District 29,Pierce,47.112875,-122.426247,47.112904,-122.42625
-13104160.6244371,6153814.13456842,324,5523,Chewelah Open Doors Reengagement Program,"106 W Lincoln Ave, Chewelah, WA 99109-9252",32801,Educational Service District 101,33036,Chewelah School District,"Public School,Re-Engagement School",R,High School,10,13,No,Congressional District 5,Legislative District 7,Stevens,48.281423,-117.71669,48.281502,-117.716692
-13269003.4384226,5821725.39020487,325,5164,Chiawana Senior High School,"8125 W Argent Rd, Pasco, WA 99301-1890",11801,Educational Service District 123,11001,Pasco School District,"Public School,Regular School",P,High School,8,12,No,Congressional District 4,Legislative District 8,Franklin,46.257505,-119.197142,46.2576,-119.1975
-13278510.1203384,5827910.03002898,326,2785,Chief Joseph Middle School,"504 Wilson St, Richland, WA 99354-2973",11801,Educational Service District 123,3400,Richland School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 4,Legislative District 16,Benton,46.296245,-119.282062,46.296,-119.2829
-13358047.8822959,5831423.0425606,327,4000,Chief Kamiakin Elementary School,"1700 E Lincoln Ave, Sunnyside, WA 98944-2482",39801,Educational Service District 105,39201,Sunnyside School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 14,Yakima,46.317909,-119.997242,46.3178,-119.9974
-13570400.8758451,6035530.54572101,328,4397,Chief Kanim Middle School,"32627 SE Redmond Fall City Rd, Fall City, WA 98024-8741",17801,Puget Sound Educational Service District 121,17410,Snoqualmie Valley School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 8,Legislative District 12,King,47.569527,-121.904808,47.5695,-121.905
-13645530.7183672,6058125.08517797,329,5319,Chief Kitsap Academy,"15838 Sandy Hook Rd NE, Poulsbo, WA 98370-7867",99999,Office of Superintendent of Public Instruction,18902,Suquamish Tribal Education Department,"Public School,Regular School",Q,K-12,K,12,No,Congressional District 6,Legislative District 23,Kitsap,47.706183,-122.579835,47.706264,-122.579903
-13620651.2022782,5976738.13857538,330,5549,Chief Leschi Schools,"5625 52nd St E, Puyallup, WA 98371-3610",99999,Office of Superintendent of Public Instruction,27901,Chief Leschi Tribal Compact,"Public School,Tribal School,Affiliated With District",Q,K-12,K,12,Yes,Congressional District 10,Legislative District 25,Pierce,47.211909,-122.356892,47.2119528541,-122.356406351
-13621741.4177275,6028949.87136925,331,3096,Chief Sealth International High School,"2600 SW Thistle St, Seattle, WA 98106-3748",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,High School,9,12,No,Congressional District 7,Legislative District 34,King,47.52889,-122.366193,47.5296,-122.3662
-13641767.2779774,5746329.72602108,332,5133,Chief Umtuch Middle School,"700 NW 9th St, Battle Ground, WA 98604-8000",6801,Educational Service District 112,6119,Battle Ground School District,"Public School,Affiliated With District",P,Middle School,5,8,No,Congressional District 3,Legislative District 18,Clark,45.786188,-122.545953,45.787309,-122.546095
-13667170.8811441,6112362.33249433,333,4552,Chimacum Creek Primary School,"313 Ness' Corner Rd, Port Hadlock, WA 98339-9435",18801,Olympic Educational Service District 114,16049,Chimacum School District,"Public School,Regular School",P,Elementary School,PK,1,Yes,Congressional District 6,Legislative District 24,Jefferson,48.033092,-122.77427,48.0331,-122.7743
-13667586.2146208,6108863.32252082,334,2697,Chimacum Elementary School,"91 West Valley Rd, Chimacum, WA 98325-7731",18801,Olympic Educational Service District 114,16049,Chimacum School District,"Public School,Regular School",P,Elementary School,2,6,No,Congressional District 6,Legislative District 24,Jefferson,48.011816,-122.777143,48.012077,-122.778031
-13667586.2146208,6108863.32252082,335,3275,Chimacum Junior/Senior High School,"91 West Valley Rd, Chimacum, WA 98325-7731",18801,Olympic Educational Service District 114,16049,Chimacum School District,"Public School,Regular School",P,Other,7,12,No,Congressional District 6,Legislative District 24,Jefferson,48.011816,-122.777143,48.012077,-122.778031
-13601141.8669343,5989484.32583129,336,3439,Chinook Elementary School (Auburn),"3502 Auburn Way S, Auburn, WA 98092-7221",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 8,Legislative District 31,King,47.289618,-122.181065,47.289675,-122.181151
-13657918.0653488,5736276.60932127,337,4405,Chinook Elementary School (Vancouver),"1900 NW Bliss Rd, Vancouver, WA 98685-1824",6801,Educational Service District 112,6037,Vancouver School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 3,Legislative District 18,Clark,45.724062,-122.690741,45.724299,-122.69118
-13604473.6498919,6045211.11561333,338,3338,Chinook Middle School (Bellevue),"2001 98th Ave NE, Clyde Hill, WA 98004-2617",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 1,Legislative District 48,King,47.628141,-122.211085,47.62814,-122.211081
-13267619.2938217,5809865.1037574,339,5439,Chinook Middle School (Kennewick),"6011 W 10th Pl, Kennewick, WA 99338-1400",11801,Educational Service District 123,3017,Kennewick School District,"Public School,Affiliated With District",P,Middle School,6,8,No,Congressional District 4,Legislative District 8,Benton,46.197391,-119.205374,46.183885,-119.185066
-13673026.3115636,5950761.08951857,340,3361,Chinook Middle School (Lacey),"4301 6th Ave NE, Lacey, WA 98516-5309",34801,Capital Region ESD 113,34003,North Thurston Public Schools,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 10,Legislative District 22,Thurston,47.053104,-122.827197,47.0532,-122.8269
-13612201.3415021,6013400.44185078,341,3098,Chinook Middle School (SeaTac),"18650 42nd Ave S, SeaTac, WA 98188-5012",17801,Puget Sound Educational Service District 121,17401,Highline School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 9,Legislative District 33,King,47.43514,-122.280726,47.4352,-122.2805
-13652103.8153302,5957939.23480162,342,4562,Chloe Clark Elementary School,"1700 Palisade Blvd, Dupont, WA 98327-9734",17801,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,"Public School,Regular School",P,Elementary School,PK,3,Yes,Congressional District 10,Legislative District 28,Pierce,47.097376,-122.639124,47.097115,-122.63895
-13617164.0747912,6013800.35855173,343,1539,CHOICE Academy (Des Moines),"18367 8th Ave S, Burien, WA 98148-1911",17801,Puget Sound Educational Service District 121,17401,Highline School District,"Public School,Alternative School",A,Other,6,12,No,Congressional District 7,Legislative District 33,King,47.437847,-122.325001,47.43763,-122.325081
-13638460.2596091,6073041.91816363,344,5546,Choice Academy (Kingston),"25800 Siyaya Ave NE, Kingston, WA 98346-9363",18801,Olympic Educational Service District 114,18400,North Kitsap School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 6,Legislative District 23,Kitsap,47.796486,-122.516373,47.796359,-122.516388
-13704378.6577501,5977331.92131209,345,5778,CHOICE School,"807 W Pine St, Shelton, WA 98584-2562",34801,Capital Region ESD 113,23309,Shelton School District,"Public School,Affiliated With District",P,K-12,K,12,No,Congressional District 6,Legislative District 35,Mason,47.215591,-123.10871,47.215576,-123.108543
-13583291.6692908,6045303.61193639,346,4354,Christa McAuliffe Elementary School,"23823 NE 22nd St, Sammamish, WA 98074-3567",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 45,King,47.628717,-122.020897,47.6287,-122.0208
-13630680.3810269,5968801.47322103,347,3301,Christensen Elementary School,"10232 Barnes Ln S, Tacoma, WA 98444-2752",17801,Puget Sound Educational Service District 121,27402,Franklin Pierce School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 10,Legislative District 29,Pierce,47.163204,-122.44666,47.1635,-122.4465
-13832413.501562,6148897.32952286,348,3422,Clallam Bay High & Elementary School,"16933 Highway 112, Clallam Bay, WA 98326",18801,Olympic Educational Service District 114,5401,Cape Flattery School District,"Public School,Regular School",P,K-12,K,12,No,Congressional District 6,Legislative District 24,Clallam,48.251402,-124.259724,48.2521,-124.2587
-13746129.4472223,6126629.96906409,349,3143,Clallam Co Juvenile Detention,"1912 W 18th St, Port Angeles, WA 98363-5121",99999,Office of Superintendent of Public Instruction,18801,Olympic Educational Service District 114,Detention Center,J,Other,7,12,No,Congressional District 6,Legislative District 24,Clallam,48.118274,-123.484309,48.118735,-123.483597
-13593452.4633538,6058491.99630018,350,5511,Clara Barton Elementary School,"12011 172nd Ave NE, Redmond, WA 98052",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 1,Legislative District 45,King,47.706983,-122.110872,47.708482,-122.112076
-13656283.897662,5721252.55181645,351,5290,Clark County Juvenile Detention School,"500 W 11th St, Vancouver, WA 98660-3052",99999,Office of Superintendent of Public Instruction,6801,Educational Service District 112,Detention Center,J,Other,3,12,No,Congressional District 3,Legislative District 49,Clark,45.629955,-122.676524,45.63,-122.6765
-13584883.8744243,6028456.26879589,352,2738,Clark Elementary School,"335 1st Ave SE, Issaquah, WA 98027-3840",17801,Puget Sound Educational Service District 121,17411,Issaquah School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 8,Legislative District 5,King,47.526485,-122.035047,47.526606,-122.035103
-13466618.8544139,5975425.09378726,353,2328,Cle Elum Roslyn Elementary School,"2696 State Route 903, Cle Elum, WA 98922-8704",39801,Educational Service District 105,19404,Cle Elum-Roslyn School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 8,Legislative District 13,Kittitas,47.204154,-120.97287,47.20394,-120.97271
-13466996.5614493,5975589.27504127,354,2329,Cle Elum Roslyn High School,"2692 State Route 903, Cle Elum, WA 98922-8704",39801,Educational Service District 105,19404,Cle Elum-Roslyn School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 8,Legislative District 13,Kittitas,47.205237,-120.976028,47.204942,-120.976103
-13659123.9398513,6054396.89117903,355,4016,Clear Creek Elementary School,"12901 Winter Creek Ave NW, Silverdale, WA 98383-4020",18801,Olympic Educational Service District 114,18401,Central Kitsap School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 6,Legislative District 23,Kitsap,47.683768,-122.701868,47.683722,-122.702013
-13606947.0342145,6184480.98005361,356,3403,Clear Lake Elementary School,"23631 Lake St, Clearlake, WA 98235-7737",29801,Northwest Educational Service District 189,29101,Sedro-Woolley School District,"Public School,Regular School",P,Elementary School,K,6,No,Congressional District 2,Legislative District 39,Skagit,48.464578,-122.233487,48.4645,-122.2333
-13615930.5407176,6032693.15329255,357,2392,Cleveland High School STEM,"5511 15th Ave S, Seattle, WA 98108-2823",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,High School,9,12,No,Congressional District 9,Legislative District 37,King,47.552301,-122.31391,47.5523,-122.314
-13570730.267973,6049219.5703782,358,1756,CLIP,"32302 NE 50th St, Carnation, WA 98014-6329",17801,Puget Sound Educational Service District 121,17407,Riverview School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 8,Legislative District 12,King,47.652339,-121.907977,47.652402,-121.907959
-13623307.3600143,5958813.63104112,359,2576,Clover Creek Elementary School,"16715 36th Ave E, Tacoma, WA 98446-1376",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 10,Legislative District 2,Pierce,47.10235,-122.380297,47.102462,-122.380267
-13635719.4795611,5969040.84637419,360,5386,Clover Park Early Learning Program,"10202 Earley Ave SW, Lakewood, WA 98499-4727",17801,Puget Sound Educational Service District 121,27400,Clover Park School District,"Public School,Preschool",P,PK Only,PK,PK,No,Congressional District 10,Legislative District 29,Pierce,47.165509,-122.491902,47.164962,-122.491767
-13638773.3069615,5967835.53821556,361,2425,Clover Park High School,"11023 Gravelly Lake Dr SW, Lakewood, WA 98499-1331",17801,Puget Sound Educational Service District 121,27400,Clover Park School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 10,Legislative District 28,Pierce,47.157616,-122.519135,47.1576,-122.5192
-13386852.6590867,6007567.02470617,362,5700,Clovis Point Elementary School,"1855 Fourth St SE, East Wenatchee, WA 98802-9202",4801,North Central Educational Service District 171,9206,Eastmont School District,"Public School,Regular School",P,Elementary School,K,6,Yes,Congressional District 4,Legislative District 7,Douglas,47.399907,-120.256296,47.399742,-120.256158
-13604504.8191702,6045655.45372148,363,2847,Clyde Hill Elementary School,"9601 NE 24th St, Clyde Hill, WA 98004-2141",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 1,Legislative District 48,King,47.630945,-122.211939,47.63083,-122.211361
-13062539.1777414,6075037.38585026,364,3562,Colbert Elementary School,"4625 E Green Bluff Rd, Colbert, WA 99005",32801,Educational Service District 101,32354,Mead School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 5,Legislative District 4,Spokane,47.809148,-117.343227,47.8084,-117.3428
-13064531.8192767,5924511.38092434,365,3366,Colfax High School,"1110 N Morton St, Colfax, WA 99111-2133",32801,Educational Service District 101,38300,Colfax School District,"Public School,Regular School",P,Other,7,12,No,Congressional District 5,Legislative District 9,Whitman,46.892235,-117.360976,46.8923,-117.3607
-13618212.582911,6075882.8404036,366,3691,College Place Elementary School,"20401 76th Ave W, Lynnwood, WA 98036-5838",29801,Northwest Educational Service District 189,31015,Edmonds School District,"Public School,Regular School",P,Elementary School,K,6,No,Congressional District 2,Legislative District 32,Snohomish,47.81348,-122.334946,47.8135,-122.3345
-13178807.064876,5785321.12043859,367,5362,College Place High School,"1755 S College Ave, College Place, WA 99324-1771",11801,Educational Service District 123,36250,College Place School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 5,Legislative District 16,Walla Walla,46.030884,-118.387588,46.031023,-118.387252
-13618234.8467646,6075551.31492195,368,3754,College Place Middle School,"7501 208th St SW, Lynnwood, WA 98036-5842",29801,Northwest Educational Service District 189,31015,Edmonds School District,"Public School,Regular School",P,Middle School,7,8,No,Congressional District 2,Legislative District 32,Snohomish,47.810868,-122.334696,47.8115,-122.3347
-13625955.7606735,5964958.00894364,369,2257,Collins Elementary School,"1920 128th St E, Tacoma, WA 98445-3615",17801,Puget Sound Educational Service District 121,27402,Franklin Pierce School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 10,Legislative District 25,Pierce,47.140031,-122.403935,47.14002,-122.404058
-13038961.2996781,5871594.50784663,370,2588,Colton School,"706 Union St, Colton, WA 99113-8757",32801,Educational Service District 101,38306,Colton School District,"Public School,Regular School",P,PK-12,PK,12,Yes,Congressional District 5,Legislative District 9,Whitman,46.56645,-117.130675,46.566468,-117.130996
-13276485.5333002,5959183.01975502,371,5273,Columbia Basin Technical Skills Center,"900 E Yonezawa Blvd, Moses Lake, WA 98837-3080",4801,North Central Educational Service District 171,13161,Moses Lake School District,"Public School,Vocational/technical school",V,High School,10,12,No,Congressional District 4,Legislative District 13,Grant,47.104753,-119.264841,47.104721,-119.264713
-13593187.9929788,5902044.23028114,372,2808,Columbia Crest A-STEM Academy,"24503 State Route 706 E, Ashford, WA 98304-9703",17801,Puget Sound Educational Service District 121,27404,Eatonville School District,"Public School,Regular School",P,Other,K,8,Yes,Congressional District 8,Legislative District 2,Pierce,46.754455,-122.109069,46.7542,-122.1097
-13635789.9011084,6234826.19691198,373,2365,Columbia Elementary School (Bellingham),"2508 Utter St, Bellingham, WA 98225-2708",29801,Northwest Educational Service District 189,37501,Bellingham School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 2,Legislative District 42,Whatcom,48.763425,-122.492703,48.7635,-122.4924
-13248420.4695425,5812504.79491628,374,3613,Columbia Elementary School (Burbank),"977 W Maple St, Burbank, WA 99323-8538",11801,Educational Service District 123,36400,Columbia (Walla Walla) School District,"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 5,Legislative District 16,Walla Walla,46.200424,-119.01274,46.2003,-119.0126
-13614861.8642607,6090665.27887867,375,4342,Columbia Elementary School (Mukilteo),"10520 Harbour Pointe Blvd, Mukilteo, WA 98275-4701",29801,Northwest Educational Service District 189,31006,Mukilteo School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 2,Legislative District 21,Snohomish,47.902628,-122.304234,47.9026,-122.3044
-13664809.2931434,5764798.75132959,376,5599,Columbia Elementary School (Woodland),"600 Bozarth Ave, Woodland, WA 98674-8425",6801,Educational Service District 112,8404,Woodland School District,"Public School,Regular School",P,Elementary School,PK,4,No,Congressional District 3,Legislative District 20,Cowlitz,45.902859,-122.752893,45.902882,-122.753085
-13685482.983051,5805398.85956141,377,3211,Columbia Heights Elementary School,"2820 Parkview Dr, Longview, WA 98632-5502",6801,Educational Service District 112,8122,Longview School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 3,Legislative District 19,Cowlitz,46.156084,-122.938579,46.1561,-122.9388
-13158299.2946356,6126793.62063363,378,3508,Columbia High & Elementary School,"4961 Hunters Shop Rd, Hunters, WA 99137-5110",32801,Educational Service District 101,33206,Columbia (Stevens) School District,"Public School,Regular School",P,PK-12,PK,12,Yes,Congressional District 5,Legislative District 7,Stevens,48.119329,-118.201648,48.119717,-118.203028
-13247830.4763076,5812440.46158285,379,4049,Columbia High School (Burbank),"787 W Maple St, Burbank, WA 99323-8523",11801,Educational Service District 123,36400,Columbia (Walla Walla) School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 5,Legislative District 16,Walla Walla,46.200045,-119.007701,46.1999,-119.0073
-13524659.7499714,5739024.95277293,380,2330,Columbia High School (White Salmon),"1455 Bruin Country Rd, White Salmon, WA 98672-8701",6801,Educational Service District 112,20405,White Salmon Valley School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 4,Legislative District 17,Klickitat,45.741678,-121.494246,45.741532,-121.4941
-13620528.0433882,5979860.081719,381,4582,Columbia Junior High School,"2901 54th Ave E, Fife, WA 98424-2110",17801,Puget Sound Educational Service District 121,27417,Fife School District,"Public School,Regular School",P,High School,8,9,No,Congressional District 6,Legislative District 27,Pierce,47.231143,-122.35495,47.231,-122.3553
-13248117.680567,5812517.01830725,382,3012,Columbia Middle School (Burbank),"835 W Maple St, Burbank, WA 99323-8534",11801,Educational Service District 123,36400,Columbia (Walla Walla) School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 5,Legislative District 16,Walla Walla,46.200414,-119.009896,46.200376,-119.00988
-13275849.5648471,5960913.34740712,383,3022,Columbia Middle School (Moses Lake),"1111 E Nelson Rd, Moses Lake, WA 98837-2361",4801,North Central Educational Service District 171,13161,Moses Lake School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 4,Legislative District 13,Grant,47.11543,-119.259008,47.1153,-119.259
-13307030.1436302,5994019.20444033,384,2793,Columbia Ridge Elementary School,"60 H St SE, Ephrata, WA 98823-1921",4801,North Central Educational Service District 171,13165,Ephrata School District,"Public School,Regular School",P,Elementary School,K,4,No,Congressional District 4,Legislative District 13,Grant,47.317289,-119.539571,47.3173,-119.5391
-13270391.814223,5826379.0881853,385,5623,Columbia River Elementary School,"9011 Burns Rd, Pasco, WA 99301-8096",11801,Educational Service District 123,11001,Pasco School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 16,Franklin,46.28581,-119.208691,46.286497,-119.209972
-13615495.4418936,5712674.76436478,386,5494,Columbia River Gorge Elementary School,"35300 SE Evergreen Hwy, Washougal, WA 98671-6736",6801,Educational Service District 112,6112,Washougal School District,"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 3,Legislative District 17,Clark,45.576124,-122.310297,45.57609,-122.310091
-13656568.5399897,5731479.49160219,387,3423,Columbia River High School,"800 NW 99th St, Vancouver, WA 98685-7512",6801,Educational Service District 112,6037,Vancouver School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 3,Legislative District 18,Clark,45.694736,-122.67862,45.694207,-122.679057
-13635767.7191168,5718467.16777445,388,4587,Columbia Valley Elementary School,"17500 SE Sequoia Cir, Vancouver, WA 98683-9675",6801,Educational Service District 112,6114,Evergreen School District (Clark),"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 3,Legislative District 17,Clark,45.612862,-122.491437,45.6125,-122.4922
-13687542.3933136,5805109.59619925,389,2369,Columbia Valley Garden Elementary School,"2644 30th Ave, Longview, WA 98632-4367",6801,Educational Service District 112,8122,Longview School District,"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 3,Legislative District 19,Cowlitz,46.154278,-122.957462,46.1543,-122.9573
-13141908.3800163,6207694.25303667,390,5180,Columbia Virtual Academy (Kettle Falls),"1275 Juniper St, Kettle Falls, WA 99141-8843",32801,Educational Service District 101,33212,Kettle Falls School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 5,Legislative District 7,Stevens,48.59994,-118.059041,48.602584,-118.055786
-13104660.6744898,6135262.94648593,391,1932,Columbia Virtual Academy (Valley),"3030 Huffman Rd, Valley, WA 99181-9749",32801,Educational Service District 101,33070,Valley School District,"Public School,Alternative School",A,Other,K,8,No,Congressional District 5,Legislative District 7,Stevens,48.170517,-117.721118,48.170482,-117.721184
-13124252.5569597,6198449.16831477,392,5604,Colville Fish Hatchery,"390 N Hofstetter St, Colville, WA 99114-3214",32801,Educational Service District 101,33115,Colville School District,"Public School,Vocational/technical school",V,Other,7,12,No,Congressional District 5,Legislative District 7,Stevens,48.547464,-117.896831,48.547635,-117.897181
-13124466.179408,6196257.52384356,393,3831,Colville Junior High School,"990 S Cedar St, Colville, WA 99114-2632",32801,Educational Service District 101,33115,Colville School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 5,Legislative District 7,Stevens,48.534744,-117.89923,48.5346,-117.8991
-13121894.6993655,6197989.27082166,394,3310,Colville Senior High School,"154 Highway 20 Hwy E, Colville, WA 99114-9246",32801,Educational Service District 101,33115,Colville School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 5,Legislative District 7,Stevens,48.545194,-117.875725,48.5449,-117.876
-13630587.2042759,5983981.25235378,395,1585,Comm Based Trans Program,"601 S 8th St, Tacoma, WA 98402-4614",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Special Education School",S,High School,12,12,No,Congressional District 6,Legislative District 27,Pierce,47.25638,-122.445835,47.256133,-122.445663
-13602326.5189016,6051124.66797328,396,3856,Community School,"11133 NE 65th St, Kirkland, WA 98033-7116",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Alternative School",A,Elementary School,1,5,No,Congressional District 1,Legislative District 48,King,47.663872,-122.191598,47.663929,-122.191793
