Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"Lewis County Public Health & Social Services","Lewis CPHSS-Mossyrock","219 State Route 122","Mossyrock",98564,"WA",-122.4885,46.52861,[object Object],46.528610000000036,-122.48849999999999
"Lewis County Public Health & Social Services","Lewis CPHSS-Winlock","607 NW Kerron St","Winlock",98596,"WA",-122.94121,46.48833,[object Object],46.48833000000001,-122.94121000000001
"Lewis County Public Health & Social Services","Lewis CPHSS-Randle","9978 US Hwy 12","Randle",98377,"WA",-121.94981,46.53499,[object Object],46.534990000000064,-121.94981000000001
"Lewis County Public Health & Social Services","Lewis CPHSS-Chehalis","360 NW NORTH","Chehalis",98532,"WA",-122.9694,46.66214,[object Object],46.66213999999997,-122.96939999999998
"Lincoln County Health Dept","Lincoln CHD-Davenport","90 Nicholls St","Davenport",99122,"WA",-118.14617,47.65679,[object Object],47.65679000000006,-118.14617
"Lummi Nation","Lummi Indian Health Center-Bellingham","2592 Kwina Road","Bellingham",98226,"WA",-122.62074,48.79575,[object Object],48.79575,-122.62073999999996
"Makah Tribe","Makah Tribe-Neah Bay","100 Wellness Way","Neah Bay",98357,"WA",-124.585211,48.357928,[object Object],48.35792800000005,-124.585211
"Mattawa Comm Medical Clinic","Mattawa CMC-Mattawa","215 1st St","Mattawa",99349,"WA",-119.90542,46.73674,[object Object],46.73673999999998,-119.90542
"Moses Lake Comm Health Center","Moses Lake CHC-Moses Lake","605 Coolidge Dr","Moses Lake",98837,"WA",-119.26332,47.12918,[object Object],47.129179999999984,-119.26331999999998
"Moses Lake Comm Health Center","Moses Lake CHC-Ephrata","131 Basin St SW","Ephrata",98823,"WA",-119.55307,47.3194,[object Object],47.31940000000005,-119.55307000000002
"Moses Lake Comm Health Center","Moses Lake CHC-Quincy","1450 1st Avenue SW","Quincy",98848,"WA",-119.85403,47.2262,[object Object],47.22620000000001,-119.85402999999998
"Moses Lake Comm Health Center","Moses Lake CHC-Warden","200 Main St South","Warden",98857,"WA",-119.04003,46.96858,[object Object],46.968580000000074,-119.04002999999999
"MultiCare Health Systems","MultiCare HS-Joint Base Lewis McChord","Bldg 551 Barnes Rd JBLM","Fort Lewis",98433,"WA",-122.492925,47.124079,[object Object],47.124079000000044,-122.49292499999997
"MultiCare Health Systems","MultiCare HS-Eatonville","118 Washington Ave N","Eatonville",98328,"WA",-122.26577,46.86753,[object Object],46.86753,-122.26576999999997
"MultiCare Health Systems","MultiCare HS-Boze Elementary School","1140 E 65th St","Tacoma",98404,"WA",-122.41538,47.1976,[object Object],47.19759999999999,-122.41537999999997
"MultiCare Health Systems","MultiCare HS-Eastside Family Support ","3569 E Roosevelt Ave","Tacoma",98404,"WA",-122.39869,47.22731,[object Object],47.227310000000024,-122.39868999999997
"MultiCare Health Systems","MultiCare HS-Fredrickson","11102 Sunrise Blvd, Ste 103","Puyallup",98374,"WA",-122.28189,47.09703,[object Object],47.09702999999999,-122.28188999999998
"MultiCare Health Systems","MultiCare HS-Gig Harbor","7700 Skansie Ave","Gig Harbor",98335,"WA",-122.60014,47.32785,[object Object],47.32784999999999,-122.60013999999998
"MultiCare Health Systems","MultiCare HS-Key Peninsula","17010 S Vaughn Rd","Vaughn",98394,"WA",-122.76341,47.34264,[object Object],47.34264000000006,-122.76340999999996
"MultiCare Health Systems","MultiCare HS-Mary Bridge Main","316 North  L St","Tacoma",98403,"WA",-122.4563,47.26018,[object Object],47.260179999999984,-122.45629999999998
"MultiCare Health Systems","MultiCare HS-Puyallup","1011 East Main St, Ste 106","Puyallup",98372,"WA",-122.28083,47.19241,[object Object],47.19241000000004,-122.28082999999998
"MultiCare Health Systems","MultiCare HS-Spanaway","18020 B St East","Spanaway",98387,"WA",-122.43018,47.0924,[object Object],47.09240000000005,-122.43018
"NE Tri County Health District","NE Tri CHD-Republic","147 N Clark Ave, Ste 1","Republic",99166,"WA",-118.73837,48.6492,[object Object],48.64919999999999,-118.73836999999999
"NE Tri County Health District","NE Tri CHD-Chewelah","518 E Clay Ave","Chewelah",99109,"WA",-117.72223,48.27723,[object Object],48.277229999999996,-117.72222999999997
"NE Tri County Health District","NE Tri CHD-Colville","240 E Dominion St","Colville",99114,"WA",-117.90378,48.53992,[object Object],48.539920000000045,-117.90377999999998
"NE Tri County Health District","NE Tri CHD-Newport","605 Highway 20","Newport",99156,"WA",-117.04886,48.18637,[object Object],48.18637000000004,-117.04886000000005
"NE Tri County Health District","NE Tri CHD-Springdale","114 S Main","Springdale",99173,"WA",-117.74185,48.05518,[object Object],48.055179999999986,-117.74184999999997
"Nooksack Indian Tribe","Nooksack Health Center-Everson","2510 Sulwhanon Dr","Everson",98247,"WA",-122.3495,48.8849,[object Object],48.884900000000016,-122.34950000000003
"Pacific County Public Health & Human Services","Pacific CPHHS-South Bend","1216 W Robert Bush Dr","South Bend",98586,"WA",-123.81301,46.667084,[object Object],46.66708400000007,-123.81301
"Pacific County Public Health & Human Services","Pacific CPHHS-Long Beach","7013 Sandridge Rd","Long Beach",98631,"WA",-124.03186,46.35611,[object Object],46.35611000000007,-124.03185999999994
"Port Gamble S’Klallam Tribe","Port Gamble S’Klallam Tribe-Kingston","32010 Little Boston Rd NE","Kingston",98346,"WA",-122.5664,47.8482,[object Object],47.84820000000005,-122.5664
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Arlington","205 East 4th St","Arlington",98223,"WA",-122.12627,48.19612,[object Object],48.19612000000002,-122.12626999999996
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Granite Falls","402 Granite Ave","Granite Falls",98252,"WA",-121.9696,48.0794,[object Object],48.07940000000006,-121.96959999999997
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Marysville","1410 7TH St Ste A","Marysville",98270,"WA",-122.17843,48.05445,[object Object],48.05445000000003,-122.17843
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Monroe","15228 Woods Creek Rd","Monroe",98272,"WA",-121.96581,47.85968,[object Object],47.85968000000005,-121.96580999999999
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Silver Lake","1819 100th Pl SE, Ste B","Everett",98208,"WA",-122.20746,47.90704,[object Object],47.90704000000004,-122.20745999999997
"Pregnancy Aid of Snohomish County","Pregnancy Aid WIC-Snohomish","1212 10th St, Unit B","Snohomish",98290,"WA",-122.09712,47.92425,[object Object],47.924249999999994,-122.09711999999998
"Public Health Seattle King County","PHSKC-Northshore PHC-Carnation","31957 E Commercial","Carnation",98014,"WA",-121.91267,47.64886,[object Object],47.64885999999999,-121.91266999999998
"Public Health Seattle King County","PHSKC-Eastgate PHC-North Bend","122 E 3rd St","North Bend",98045,"WA",-121.78311,47.4962,[object Object],47.4962,-121.78311
"Public Health Seattle King County","PHSKC-Kaiser Permanente-Burien","140 SW 146TH ST","Burien",98166,"WA",-122.33571,47.47296,[object Object],47.47295999999998,-122.33570999999998
"Public Health Seattle King County","PHSKC-Kaiser Permanente-Rainier Med Center Seattle","5316 Rainier Ave S","Seattle",98118,"WA",-122.27971,47.55402,[object Object],47.55402000000001,-122.27971
"Public Health Seattle King County","PHSKC-North PHC-Shoreline","17018 15th Ave NE","Seattle",98155,"WA",-122.31291,47.75259,[object Object],47.75259000000001,-122.31291
"Public Health Seattle King County","PHSKC-Auburn PHC-Auburn","901 Auburn Way N, Ste A","Auburn",98002,"WA",-122.22328,47.31618,[object Object],47.31617999999999,-122.22327999999997
"Public Health Seattle King County","PHSKC-Auburn PHC-Enumclaw","1335 Cole St","Enumclaw",98022,"WA",-121.9915,47.20165,[object Object],47.201650000000015,-121.99149999999997
"Public Health Seattle King County","PHSKC-Auburn PHC-Muckleshoot Indian Tribe","17500 SE 392nd St","Auburn",98092,"WA",-122.10778,47.25099,[object Object],47.25099000000004,-122.10778000000002
"Public Health Seattle King County","PHSKC-Columbia PHC-Seattle","4400 - 37th Ave S","Seattle",98118,"WA",-122.28571,47.56347,[object Object],47.563470000000045,-122.28570999999994
"Public Health Seattle King County","PHSKC-Country Doctor CC-Seattle","500 - 19th Ave E","Seattle",98112,"WA",-122.307,47.62341,[object Object],47.623410000000035,-122.30699999999997
"Public Health Seattle King County","PHSKC-DOWNTOWN PHC-MOBILE UNIT","2124 4th Ave","Seattle",98121,"WA",-122.34216,47.61459,[object Object],47.614590000000085,-122.34215999999999
