inCredenti,inStatus,inFirstDat,inEffectiv,inExpirati,inFacility,inAddress1,inCity,inState,inCounty,inZip,inPlus4,Source,acAddress1,acAddress2,acCity,acState,acZip,acPlus4,acCounty,acCountyFi,acNumber,acPreDir,acStreetNa,acStreetTy,acPostDir,acUnitNum,acUnitType,acAddressT,acRBDI,acGarbage,acFound,acStatusCo,acErrorCod,acChangeCo,acResultCo,Accuracy,Av_score,Av_date,Certainty,Geolevel,Quality,X_coord,Y_coord,X_coords,Y_coords,Review,longitude,latitude
"PHAR.CF.60774947","ACTIVE","09/22/2017","06/01/2020","05/31/2021","Valley Mission Homecare Pharmacy","12509 E Mission Ave Ste 103","SPOKANE VALLEY","WA","Spokane","99216","1061","TIGER10 Streets","12509 E MISSION AVE STE 103"," ","SPOKANE VALLEY","WA","99216","1061","Spokane","53063","12509","E","Mission","Ave"," ","Ste 103","Ste","Highrise"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-117.23687,47.67169,"-117.23687","47.67169",0,47.67169000029703,-117.23687000002506
"PHAR.CF.60843834","ACTIVE","07/11/2018","06/01/2020","05/31/2021","Valley View Health Center","1755 NE Kresky Ave","CENTRALIA","WA","Lewis","98531","8985","TIGER10 Streets","1755 KRESKY AVE"," ","CENTRALIA","WA","98531","8985","Lewis","53041","1755"," ","Kresky","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.95537,46.69508,"-122.95537","46.69508",0,46.69508000024799,-122.95537000001305
"PHAR.CF.60615205","ACTIVE","12/28/2015","06/01/2020","05/31/2021","Valley View Health Center","2690 NE Kresky Ave","CHEHALIS","WA","Lewis","98532","2412","TIGER10 Streets","2690 NE KRESKY AVE"," ","CHEHALIS","WA","98532","2412","Lewis","53041","2690","NE","Kresky","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.95537,46.69434,"-122.95537","46.69434",0,46.69434000017475,-122.95537000001305
"PHAR.CF.00004038","ACTIVE","06/14/1991","06/01/2020","05/31/2021","Value Drug","201 E Pioneer Ave","MONTESANO","WA","Grays Harbor","98563","4514","TIGER10 Streets","201 E PIONEER AVE"," ","MONTESANO","WA","98563","4514","Grays Harbor","53027","201","E","Pioneer","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-123.59953,46.97945,"-123.59953","46.97945",0,46.97944999991831,-123.59953000010833
"PHAR.CF.60983442","ACTIVE","11/08/2019","06/01/2020","05/31/2021","Village Pharmacy Services","10410 E 9th Ave","SPOKANE VALLEY","WA","Spokane","99206","3510","TIGER10 Streets","10410 E 9TH AVE"," ","SPOKANE VALLEY","WA","99206","3510","Spokane","53063","10410","E","9th","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-117.26572,47.64869,"-117.26572","47.64869",0,47.6486900000387,-117.26571999994074
"PHAR.CF.00001062","ACTIVE","04/21/1975","06/01/2020","05/31/2021","VIRGINIA MASON BUCK PAVILION  PHARMACY","1100 9TH AVE","SEATTLE","WA","King","98101"," ","TIGER10 Streets","1100 9TH AVE"," ","SEATTLE","WA","98101","2756","King","53033","1100"," ","9th","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32796,47.60917,"-122.32796","47.60917",0,47.60916999973598,-122.32796000018023
"PHAR.CF.60796655","ACTIVE","11/21/2017","06/01/2020","05/31/2021","Virginia Mason Georgetown Pharmacy","5959 Corson Ave S Ste C-1","SEATTLE","WA","King","98108","2605","TIGER10 Streets","5959 CORSON AVE S STE C-1"," ","SEATTLE","WA","98108","2605","King","53033","5959"," ","Corson","Ave","S","Ste C-1","Ste","Highrise"," "," ","Yes","9"," ","Street Address Match","AE08,AS02","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32105,47.54905,"-122.32105","47.54905",0,47.54904999973243,-122.32105000001296
"PHAR.CF.00001780-HOSP","ACTIVE","09/15/1975","06/01/2020","05/31/2021","Virginia Mason Hospital Pharmacy","925 Seneca St","SEATTLE","WA","King","98101","2742","TIGER10 Streets","925 SENECA ST"," ","SEATTLE","WA","98101","2742","King","53033","925"," ","Seneca","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32833,47.60991,"-122.32833","47.60991",0,47.60990999982398,-122.3283300000761
"PHAR.CF.00003715","ACTIVE","01/12/1990","06/01/2020","05/31/2021","Virginia Mason Lindeman Pavilion Pharmacy","1201 Terry Ave","SEATTLE","WA","King","98101","2735","TIGER10 Streets","1201 TERRY AVE"," ","SEATTLE","WA","98101","2735","King","53033","1201"," ","Terry","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32764,47.61029,"-122.32764","47.61029",0,47.610289999826925,-122.32763999961477
"PHAR.CF.00003138","ACTIVE","08/20/1987","06/01/2020","05/31/2021","Virginia Mason South Clinic Pharmacy","33501 1st Way S","FEDERAL WAY","WA","King","98003","6208","TIGER10 Streets","33501 1ST WAY S"," ","FEDERAL WAY","WA","98003","6208","King","53033","33501"," ","1st","Way","S"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.33013,47.30121,"-122.33013","47.30121",0,47.301210000140216,-122.33013000022493
